Region,Agency,Catchment,LawaSiteID,SiteID,CouncilSiteID,Latitude,Longitude,WFSLanduse,WFSAltitude,RECLandcover,Indicator,SampleDateTime,Timezone,AgencyRawValue,Symbol,Value,Units,QCNumber (Agency value),QCNEMSEquivalent
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2018-03-19 09:30:00,NZST,0.019,,0.019,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2018-04-17 08:40:00,NZST,0.025,,0.025,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2018-05-18 08:28:00,NZST,<0.005,<,0.005,mg/l,16393.0,610.0
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2018-06-18 09:53:00,NZST,0.015,,0.015,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2018-07-17 09:49:00,NZST,0.033,,0.033,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2018-08-16 09:36:00,NZST,0.032,,0.032,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2018-09-27 07:58:00,NZST,0.016,,0.016,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2018-11-28 09:56:00,NZST,0.066,,0.066,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2018-12-18 08:20:00,NZST,0.02,,0.02,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2019-01-23 07:35:00,NZST,0.02,,0.02,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2019-02-21 08:23:00,NZST,0.074,,0.074,mg/l,,
